Al-Baath University
Malek Hakki;;
Mehmet Murat Akburak;muratakburak;muratakburak
Mustafa Erdem Kirez;ErdemKirez;
Onur Yildiz;OnurYildiz;onuryildiz
Tokyo Institute of Technology
Ngoc Khanh Do;dnk;happyboy99x
Hiroki Katsumata;;
Kohei Morita;yosupo;yosupo
Tomsk Polytechnic University
Olesya Golub;Taube;Taube
Nicolay Kuzivanov;;
Alexey Vetrov;noxwell;noxwell
Tsinghua University
Yuhao Du;moejy0viiiiiv;xudyh
Ce Jin;jcccccccccccccccccccccsb;jcvb
Lijie Chen;YuukaKazami;On Codeforces: @CFTable:WJMZBMR:
Universidad Autónoma de Nuevo Leon
Ángel Domínguez;;
José Tapia;Josetapia;
Victor Hugo Antonio De La Fuente Jimenez;;
Universidad de Buenos Aires - FCEN
Sebastián Prillo;SebP;SebP
Alfredo Umfurer;fredy10;Fredy10
Miguel Maurizio;miguelmaurizio;miguelmaurizio
Universidad de Chile
Juan Pablo Paulsen Casanueva;JPaulsen;
Robinson Castro;Robin40;
Javier Valdés;;
Universidad de La Habana
Marcelo Fornet Fornes;;
Eloy Pérez Torres;BlackTools;blacktools
Ariel Cruz Cruz;ArielxX;
Universidad de Pinar del Río
Elio Alejandro Govea Aguilar;elio;
Manuel Alejandro Díaz Pérez;Kino;kino
José Guerra Carmenate;JoseGuerra;
Universidad Mayor de San Simon - Sistemas
Alex Cardona Siles;;
Javier Eduardo Ojeda Jorge;;
Miguel Diaz Iturry;;
Universidad Nacional de Colombia - Bogotá
Ivan Castellanos;ivancastel;ivancastel
Jaime Andrés Silva Velosa;silvavelosa;silvavelosa
Christian Mauricio Zuluaga Mora;cmzuluagam;ZuluagaCM
Universidad Nacional de Córdoba - FaMAF
Martin Rodriguez;mrz;
Matías José Hunicken Berardo;mjhun;mjhun
Luis Ferroni Rivetti;Vladislao;
Universidad Nacional de Rosario
Maximiliano Redigonda;;
Ivan Diaz;;
Brian Morris Esquivel;NBrimix;
Universidad Simón Bolívar
Rubmary Rojas;;
Augusto Hidalgo;pulgares;pulgares
Jose Acevedo;JoseAcv2;JoseAcv2
Universidade Estadual de Campinas
Guilherme Bueno Andrade;gbuenoandrade;
Arthur Pratti Dadalto;arthurpd;
Matheus de Souza Ataide;;
Universidade Federal da Bahia
Guilherme Bernal;lbguilherme;
Roberto Caldeira;rsalesc;rsalesc
Jonathan Queiroz;johnjq;johnjq
Universidade Federal de Campina Grande
Lucas de Matos Figueredo;;
Victor Andrade de Almeida;;
Ordan Silva Santos;http://codeforces.com/profile/ordan;
Universidade Federal de Itajubá - Campus Itajubá
Fúlvio Abrahão Paula;http://codeforces.com/profile/fulvioabrahao;
José Wagner de Andrade Júnior;Juniorandrade;junior.andrade
Thiago de Carvalho Pinto;;
Universidade Federal de Pernambuco
Mário Henrique da Silva;mhss;mhss
Duhan Caraciolo;dcms2;dcms2
Lucas Almeida Pereira de Lima;lucaslima;lucaslima
Universidade Federal do Rio Grande do Norte
Victor Lima;victoragnez;victoragnez
Hélio Duarte;heliobdf;deleted
Railton Calheiros;;
Universitas Indonesia
Rakina Zata Amni;makanbeling;makanbeling
Muhammad Ayaz Dzulfikar;ayaze;azure
Zamil Majdy;kadalijo;
University of Aizu
Takumi Yamashita;sate;sate3saku3
Tadamasa Yamaguchi;;dohatsutsu
Kazuya Watanabe;kzyKT;kzyKT
University of Alberta
Yunpeng Tang;;
Morgan Redshaw;;
Noah Weninger;;
University of British Columbia
Jason Chiu;;
Lucca Siaudzionis;luccasiau;luccasiau
Yuanchen Du;danield7;
University of Bucharest
Eugenie Daniel Posdarascu;;
Mihai Nitu;Mikester;
Alexandru Velea;;
University of California at Berkeley
Ruichao Chen;;
Keyhan Vakil;;
Evan Limanto;desperado123;desperado123
University of California Irvine
Pasha Khosravi;pakh;
Waitaya Krongapiradee;wyte_sk133;wyte_sk133
Liangjian Chen;;
University of California Los Angeles
Andy Shih;andyshih12;andyshih12
Konstantin Miagkov;miagkov;
Jerry Li;;
University of Cape Town
Robin Visser;rvisser;
Kieren Davies;;
Guy Paterson-Jones;;
University of Central Florida
Alexander Coleman;;
Joshua Linge;;
Timothy Buzzelli;GeometryMaster;
University of Dhaka
Shahed Shahriar;Z0RR0;
Sabit Anwar Zahin;;
Rezwan Mahmud;tonmoy_43;
University of Electronic Science and Technology of China
Zhu He;Hezhu;Herzu
Yetao Wang;;
Weibo Lin;;
University of Engineering and Technology - VNU
Van Hanh Pham;prof.PVH;skyvn97
Duy Nguyen;duyboy135;
Minh Phan Duc Nhat;minh141198;nhatminh98
University of Helsinki
Olli Hirviniemi;Gomhog;
Otte Heinävaara;gtrrebel;
Tuukka Korhonen;Laakeri;Laakeri
University of Illinois at Urbana-Champaign
Tong Li;;
Yuting Zhang;;
Yewen Fan;;
University of Latvia
Aleksejs Zajakins;Alex_2oo8;Alex_2oo8
Andrejs Kuznecovs;;
Peteris Pakalns;Pakalns;
University of Management and Technology
Abdul Rehman;rehman_00001;
Syed Zeshan Ali;;
Awab Ahmad Khan;;
University of Maryland
Shuhao Tan;;
Mahsa Derakhshan;;
Hadi Yami;;
University of Michigan at Ann Arbor
Curtis Fenner;;
Tianci Wang;;
Nathan Fenner;;
University of New South Wales
Mohammad Huda;;
Oliver Fisher;abyssmall;
Ray Li;abacadaea;abacadaea
University of Oxford
Sauyon Lee;;
Hristo Venev;mustrumr;
Mihail Jianu;;
University of Pennsylvania
Rodrigo Ornelas Vargas;;
Zhan Xiong Chin;;
Arman Tokanov;;
University of Rochester
Daniel Rubery;;
Jackson Abascal;cephian;cephian
Zachary Polansky;;
University of Tehran
Shayan Hosseini;;
Abtin Bateni;mrTux;
Navid RahimiDanesh;;
University of the Philippines - Diliman
Marco Vincenzo Karaan;;
Williard Joshua Jose;;
Rene Josiah Quinto;1NCID3R;
University of Warsaw
Wojciech Nadara;Swistakk;Swistakk
Marek Sokołowski;mnbvmar;mnbvmar
Marcin Smulewicz;Marcin_smu;Marcin_smu
University of Waterloo
Yi Kuan Li;FatalEagle;FatalEagle
Jacob Jackson;zxqfl;zxqfl
Antonio Molina Lovett;y0105w49;y0105w49
University of Wisconsin - Madison
Krittisak Chaiyakul;toppykung;
Ingkarat Rak-amnouykit;Ingkarat;
Songwong Tasneeyapant;name;
University of Wroclaw
Michał Łowicki;;
Paweł Michalak;PMichalak;pmichalak
Tomasz Syposz;tomsyp;
University of Zagreb
Marin Tomić;mtomic;mtomic
Domagoj Bradač;DBradac;dbradac
Mislav Balunović;mislav;
Ural Federal University
Aleksei Kungurtsev;;
Kirill Borozdin;kb.;
Vladimir Leskov;Tinsane;
Uzhgorod National University
Sergii Nagin;Sereja;Sereja
Yehor Bobyk;;
Taras Novokhatskyi;;
Vilnius University
Justas Klimavičius;JustasK;
Domantas Jadenkus;jDomantas;
Vytautas Traškevičius;;
Virginia Tech
Christopher Wu;ChrisWu;
Peter Steele;PeterASteele;PeterASteele
Andriy Katkov;;
Washington University in St. Louis
Sam Heil;VietaFan;
Joseph Woodson;;
Pengning Chao;;
Wuhan University
Yaolin Chen;cyl0012345;cyl0012345
Jinghao Lu;;
Jianren Li;;
Yerevan State University
Tigran Mamikonyan;tikfiz;
Hrayr Harutyunyan;Harhro94;Harhro94
Albert Sahakyan;albert96;albert96
Zhejiang University
Xiajun Wang;Yukine_Chris;
Mengge Jin;J.T.J.L.;
Yueqi Zhao;sfiction;Sfiction
